,期数,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2
0,24048,12,18,21,26,28,08,09
1,24047,11,19,21,26,35,10,11
2,24046,06,12,17,29,30,07,11
3,24045,09,10,14,31,32,03,08
4,24044,03,13,15,17,22,06,10
5,24043,03,04,08,14,27,05,07
6,24042,01,08,15,23,35,05,12
7,24041,06,08,14,16,28,03,05
8,24040,05,12,16,29,30,03,06
9,24039,03,10,11,20,22,06,10
10,24038,15,22,24,25,29,01,05
11,24037,17,19,20,29,35,07,11
12,24036,02,05,11,32,34,06,10
13,24035,05,13,17,29,33,05,12
14,24034,23,26,27,29,33,05,08
15,24033,04,08,10,11,15,07,09
16,24032,05,15,26,33,35,01,09
17,24031,09,12,15,30,34,05,06
18,24030,08,09,11,19,30,06,12
19,24029,04,19,24,28,34,04,05
20,24028,13,18,20,26,28,04,08
21,24027,08,09,16,22,23,07,09
22,24026,01,18,21,26,33,02,12
23,24025,01,02,08,18,27,04,08
24,24024,03,05,12,17,26,01,12
25,24023,08,10,12,14,22,05,09
26,24022,07,09,11,31,32,04,08
27,24021,01,12,16,20,28,07,09
28,24020,02,04,08,19,26,02,06
29,24019,19,20,26,29,30,03,04
30,24018,04,12,19,25,27,01,09
31,24017,03,07,25,27,35,01,04
32,24016,15,18,25,27,29,06,11
33,24015,08,11,14,24,31,05,06
34,24014,04,05,16,21,31,09,11
35,24013,05,22,25,28,30,03,12
36,24012,21,22,25,26,34,01,09
37,24011,01,03,27,32,34,01,07
38,24010,02,08,10,15,27,02,08
39,24009,15,18,19,24,26,05,09
40,24008,04,06,11,20,30,03,05
41,24007,04,05,28,34,35,04,11
42,24006,08,13,16,17,33,02,10
43,24005,03,05,07,09,12,05,08
44,24004,02,06,18,19,27,08,09
45,24003,07,09,12,23,29,01,02
46,24002,01,06,08,27,32,03,04
47,24001,03,09,17,26,35,02,07
48,23150,05,06,17,18,33,11,12
49,23149,01,16,17,21,29,01,06
50,23148,11,12,20,21,27,02,12
51,23147,06,07,19,33,34,03,08
52,23146,14,18,19,26,31,02,07
53,23145,06,10,12,32,33,06,07
54,23144,05,14,18,25,35,01,10
55,23143,09,20,23,29,33,02,10
56,23142,04,13,15,17,32,10,12
57,23141,04,22,25,30,31,04,05
58,23140,01,02,09,19,30,01,02
59,23139,15,16,25,31,34,05,09
60,23138,07,12,20,28,31,09,10
61,23137,04,19,21,30,31,06,12
62,23136,13,23,27,30,34,06,09
63,23135,05,18,22,28,29,09,12
64,23134,10,15,22,27,33,01,12
65,23133,10,18,25,28,33,05,11
66,23132,03,04,12,15,23,02,06
67,23131,03,07,21,22,24,06,07
68,23130,13,20,27,29,30,01,07
69,23129,09,23,25,27,33,06,12
70,23128,01,05,07,12,13,02,06
71,23127,04,07,08,18,19,02,06
72,23126,07,12,17,26,34,02,06
73,23125,07,25,26,29,32,02,08
74,23124,06,18,23,27,32,06,10
75,23123,02,14,16,28,30,02,07
76,23122,01,07,09,25,29,10,12
77,23121,05,11,15,23,33,01,09
78,23120,02,08,16,31,34,01,10
79,23119,04,08,10,14,21,04,10
80,23118,06,07,13,25,33,05,08
81,23117,05,07,15,18,20,03,04
82,23116,01,03,09,18,29,04,09
83,23115,07,10,23,31,34,02,10
84,23114,02,25,27,30,35,01,10
85,23113,06,08,30,32,33,03,10
86,23112,01,11,17,22,27,02,09
87,23111,03,12,15,28,35,02,12
88,23110,04,09,11,13,17,07,08
89,23109,01,12,21,22,31,02,09
90,23108,05,06,17,30,32,02,08
91,23107,01,12,15,16,18,03,10
92,23106,16,24,26,28,31,01,06
93,23105,07,08,19,20,25,02,11
94,23104,06,15,16,32,33,08,10
95,23103,08,11,19,31,32,08,11
96,23102,02,04,07,16,33,07,11
97,23101,06,14,16,17,28,07,10
98,23100,04,06,13,19,35,09,11
99,23099,09,11,13,22,23,06,07
