,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
0,24059,01,03,14,25,31,33,07
1,24058,08,12,13,17,27,29,13
2,24057,03,08,17,18,23,31,08
3,24056,05,18,20,24,25,26,06
4,24055,02,04,06,07,16,29,03
5,24054,08,13,20,25,31,32,03
6,24053,07,14,21,22,28,33,07
7,24052,07,10,11,15,17,21,03
8,24051,05,09,13,20,23,28,06
9,24050,01,03,07,10,22,33,02
10,24049,12,15,17,23,26,32,11
11,24048,02,09,15,19,26,28,02
12,24047,07,08,21,26,29,30,15
13,24046,02,06,10,11,17,29,15
14,24045,02,08,19,23,24,26,03
15,24044,02,06,17,25,32,33,06
16,24043,04,06,07,14,15,24,08
17,24042,02,04,05,14,26,32,14
18,24041,02,09,12,22,25,33,16
19,24040,11,14,18,19,23,26,02
20,24039,02,06,12,29,30,31,10
21,24038,08,10,18,23,27,31,02
22,24037,01,04,05,06,12,14,13
23,24036,02,08,09,12,21,31,02
24,24035,05,07,14,17,22,32,06
25,24034,02,09,12,19,21,31,04
26,24033,06,10,11,18,20,32,05
27,24032,01,03,04,11,12,21,16
28,24031,09,10,13,25,30,32,02
29,24030,01,08,22,25,29,33,10
30,24029,12,18,23,25,28,33,04
31,24028,03,07,08,11,18,19,05
32,24027,02,06,13,27,28,32,13
33,24026,04,07,18,19,20,25,06
34,24025,08,15,21,22,25,33,13
35,24024,03,07,21,24,26,30,10
36,24023,01,10,22,25,28,32,10
37,24022,02,09,11,14,18,26,06
38,24021,04,06,16,17,23,24,11
39,24020,03,08,12,14,17,33,08
40,24019,05,11,12,16,17,20,08
41,24018,06,15,17,24,28,29,16
42,24017,04,17,19,20,25,32,04
43,24016,07,12,20,24,32,33,04
44,24015,03,08,17,18,20,30,15
45,24014,01,02,10,22,24,25,13
46,24013,01,07,10,14,21,25,07
47,24012,01,03,07,18,22,28,15
48,24011,08,12,16,20,27,31,06
49,24010,11,16,20,21,23,24,04
50,24009,01,04,07,10,17,23,14
51,24008,08,20,21,23,27,30,13
52,24007,04,05,06,07,20,22,15
53,24006,07,18,20,21,26,32,05
54,24005,05,06,20,23,25,32,03
55,24004,09,13,17,18,21,27,04
56,24003,01,05,08,13,32,33,03
57,24002,04,09,10,17,19,20,09
58,24001,03,07,16,26,27,32,16
59,23151,01,15,16,20,25,27,05
60,23150,10,17,25,26,30,33,05
61,23149,02,10,19,24,26,33,15
62,23148,03,05,07,09,19,20,08
63,23147,05,06,14,16,19,32,12
64,23146,02,03,06,11,20,32,09
65,23145,07,10,21,22,23,24,11
66,23144,12,16,17,22,25,27,08
67,23143,05,07,09,16,23,30,15
68,23142,02,08,20,21,27,33,14
69,23141,01,08,11,12,21,23,03
70,23140,03,04,11,14,30,31,05
71,23139,12,14,19,21,27,31,11
72,23138,03,22,28,30,31,33,04
73,23137,03,12,17,19,23,27,11
74,23136,03,05,10,21,22,26,10
75,23135,05,06,11,13,28,30,07
76,23134,05,08,09,17,22,33,04
77,23133,04,05,10,14,22,25,03
78,23132,03,09,11,15,25,27,01
79,23131,06,07,14,20,26,32,01
80,23130,04,10,17,22,23,32,16
81,23129,08,09,12,17,32,33,04
82,23128,07,16,20,21,27,33,01
83,23127,03,08,19,22,26,32,14
84,23126,10,24,26,28,29,31,16
85,23125,11,14,15,27,30,33,04
86,23124,02,03,17,18,25,30,11
87,23123,10,13,15,22,29,32,15
88,23122,07,08,14,18,20,30,05
89,23121,02,12,16,25,30,31,12
90,23120,03,08,13,24,27,29,08
91,23119,01,02,03,19,21,28,15
92,23118,01,02,11,19,25,29,04
93,23117,02,11,14,17,18,28,08
94,23116,02,08,09,13,24,27,12
95,23115,02,07,16,21,26,27,16
96,23114,07,09,15,16,17,26,09
97,23113,01,02,13,18,25,27,03
98,23112,09,12,13,22,24,31,04
99,23111,05,06,12,17,20,33,09
100,23110,02,06,20,25,29,33,16
101,23109,06,08,10,13,16,28,13
102,23108,01,03,06,08,18,24,09
103,23107,03,07,18,25,29,33,14
104,23106,07,09,10,20,22,24,07
105,23105,01,03,05,26,30,32,16
106,23104,10,19,23,25,30,31,12
107,23103,05,06,13,24,25,29,15
108,23102,01,09,10,13,21,28,10
109,23101,01,05,09,15,18,26,04
110,23100,05,06,12,15,23,25,04
111,23099,09,11,14,19,27,33,05
112,23098,02,10,11,14,21,27,11
113,23097,01,09,14,19,29,30,15
114,23096,08,11,18,26,31,32,15
115,23095,03,08,16,17,22,26,11
116,23094,06,10,12,14,30,31,12
117,23093,10,21,24,25,27,32,07
118,23092,03,12,24,25,32,33,13
119,23091,16,20,22,26,30,32,16
